學段,單元,課,生字
四上,單元二,七：美麗的香山,"郊,幅,坡,夾,雜,襯,醉,隙,灑,碎,閒,竭"
四上,單元二,八：鄉下人家,"構,旗,株,農,率,若,椅,繪,寄,催,眠,戲"
四下,單元一,一：奇妙的漢字,"漢,歷,創,粗,略,義,號,與,產,僅,索,認"
四下,單元一,二：紙的發明,"笨,存,需,驗,價,製,懂,宜,鄰,促,較,考"
四下,單元一,三：夜間飛行的祕密,"撞,證,復,揭,障,隆,靈,銳,繫,蠅,究,遇"
四下,單元一,四：什麼比獵豹的速度更快,"冠,陸,移,浩,即,繼,續,止,體,難,置,任"
四下,單元二,五：孫悟空，變變變！,"疲,狠,孤,零,舉,應,變,毀,寺,歸,案,護"
四下,單元二,六：諸葛亮巧佈空城計,"佔,冒,險,誤,掩,供,貿,判,措,攻,敞,抵"
四下,單元二,七：扁鵲治病（白話文）,"醫,治,免,煩,腸,奈,渾,尋,取,搞,況,扭"
四下,單元二,八：紀昌學射,"射,超,技,織,盯,績,讚,顯,吊,斷,飾,報"
五上,單元一,一：溜冰場上,"拙,跌,怯,繁,喘,歪,試,克,否,啟,獲,益"
五上,單元一,二：爸爸的花兒落了（節選）,"愁,恐,糟,哀,硬,命,居,挨,恥,罰,諒,套"
五上,單元一,三：中彩那天,"維,器,贈,緩,肅,悶,德,辨,痕,窮,碼,誨"
五上,單元一,四：釣魚的啟示,"附,拋,劇,抖,縱,距,辯,喪,擇,踐,嚴,格"
五上,單元二,五：霧鎖香江,"濃,茫,隱,遮,龐,悉,儀,衷,拂,浴,曠,怡"
五上,單元二,六：觀潮,"據,闊,昂,逐,貫,潮,坦,崩,顫,漫,舊,吼"
五上,單元二,七：西湖風光,"覽,疏,聳,徒,政,址,補,程,繞,幽,厭,致"
五上,單元二,八：桂林山水,"蕩,瀾,擴,攀,登,泰,羅,危,栽,綿,卷,覺"
五下,單元一,一：會捕食的植物,"碌,搜,介,澤,懸,獵,液,瓶,捕,仰,守,網"
五下,單元一,二：鯨,"適,鋒,潛,傾,斜,兇,徵,撕,泉,幼,矮,屬"
五下,單元一,三：太陽,"曬,際,鋼,殖,煤,炭,蒸,降,凝,菌,預,疾"
五下,單元一,三：火星——地球的「孿生兄弟」,"測,實,源,誕,釋,態,攝,刷,育,謎,仍,襲"
五下,單元二,五：將相和,"召,缺,允,辭,職,慮,斥,協,典,欺,削,拒"
五下,單元二,六：廉頗和藺相如,"迫,屑,謙,討,侵,崇,榮,懼,振,批,愧,忠"
五下,單元二,七：田忌賽馬,"贏,則,輸,敗,將,勝,肯,胸,惑,整,序,為"
五下,單元二,八：晏子使楚,"訪,仗,侮,謊,拱,矩,席,業,夥,勞,賊,尊"
